Student,Skills
Student 1,"JavaScript, SQL, Python, C++"
Student 2,"JavaScript, C++, Java, Python"
Student 3,"Java, Python, JavaScript"
Student 4,"C++, Java, JavaScript, Python"
Student 5,"Java, SQL"
Student 6,"Java, Python, SQL"
Student 7,SQL
Student 8,"Python, Java, C++"
Student 9,"C++, JavaScript"
Student 10,"JavaScript, SQL"
Student 11,"SQL, C++, Java"
Student 12,"C++, Java, SQL, Python"
Student 13,"SQL, C++"
Student 14,"C++, SQL, JavaScript"
Student 15,"C++, SQL, Java"
Student 16,JavaScript
Student 17,SQL
Student 18,"Python, JavaScript, SQL, C++"
Student 19,JavaScript
Student 20,Python
Student 21,"Python, Java"
Student 22,"Python, Java, SQL, C++"
Student 23,JavaScript
Student 24,"JavaScript, SQL"
Student 25,"Java, JavaScript"
Student 26,"JavaScript, SQL, Java, Python"
Student 27,"C++, SQL, Python"
Student 28,Python
Student 29,"Java, SQL"
Student 30,"Python, Java, C++, SQL"
Student 31,"SQL, C++, Java"
Student 32,"Java, JavaScript"
Student 33,SQL
Student 34,"C++, Java, JavaScript"
Student 35,"Python, Java, C++"
Student 36,"Python, JavaScript, SQL, C++"
Student 37,"Java, SQL"
Student 38,Java
Student 39,"Python, C++, Java"
Student 40,"JavaScript, SQL, C++"
Student 41,"JavaScript, C++, Java, SQL"
Student 42,"C++, Python, Java, SQL"
Student 43,C++
Student 44,"JavaScript, Java"
Student 45,"Java, SQL, Python, C++"
Student 46,"Python, Java"
Student 47,SQL
Student 48,SQL
Student 49,C++
Student 50,"Python, C++"
Student 51,"JavaScript, C++"
Student 52,"C++, SQL"
Student 53,"Python, JavaScript, Java, SQL"
Student 54,Python
Student 55,SQL
Student 56,"Java, JavaScript, Python"
Student 57,SQL
Student 58,"Java, C++, Python, SQL"
Student 59,"Java, SQL, C++"
Student 60,"SQL, C++, Python"
Student 61,"JavaScript, C++, Python, Java"
Student 62,"Python, Java, C++, JavaScript"
Student 63,"Java, Python, SQL, C++"
Student 64,"C++, Java, SQL, Python"
Student 65,"C++, JavaScript, Java, Python"
Student 66,Python
Student 67,"SQL, Java, JavaScript, Python"
Student 68,"JavaScript, Python"
Student 69,"Python, JavaScript"
Student 70,"C++, Java, JavaScript"
Student 71,"SQL, Python"
Student 72,Python
Student 73,SQL
Student 74,"Python, JavaScript, C++, Java"
Student 75,JavaScript
Student 76,"C++, Java, SQL, JavaScript"
Student 77,"JavaScript, SQL, C++, Python"
Student 78,"Python, JavaScript, SQL, C++"
Student 79,"C++, Python, SQL, JavaScript"
Student 80,C++
Student 81,"Python, Java, SQL, C++"
Student 82,JavaScript
Student 83,"Python, C++, JavaScript"
Student 84,"Java, C++"
Student 85,"JavaScript, SQL"
Student 86,"SQL, Python, Java, C++"
Student 87,"Python, Java"
Student 88,"C++, JavaScript"
Student 89,Python
Student 90,"C++, Java, Python, JavaScript"
Student 91,"C++, SQL, Python, JavaScript"
Student 92,"Java, SQL, C++, JavaScript"
Student 93,JavaScript
Student 94,"C++, Python"
Student 95,Java
Student 96,"Python, JavaScript"
Student 97,C++
Student 98,"SQL, C++"
Student 99,"C++, SQL, Java, JavaScript"
Student 100,"Python, SQL, JavaScript, C++"
Sample Student 101,"Python, SQL"
Sample Student 102,"Java, C++"
Sample Student 103,"Python, Java"
Sample Student 104,"SQL, JavaScript"
Sample Student 105,"Python, JavaScript"
Sample Student 106,"Java, C++"
